origin_denosing_value,attack_denosing_value,origin_pca_value,attack_pca_value,origin_OPA2D_value,attack_OPA2D_value
0.000780344,0.77154505,0.0044593215,0.010400534,0,0
0.15841883,0.17663342,1.1920929e-07,0.00017529726,0,0
0.0056946874,0.00026023388,0.81717265,0.96734834,0,0
0.00074082613,0.45808357,0.061639667,0.077160805,0,0
7.6174736e-05,0.0014839768,0.00058567524,0.0011404753,0,0
0.001760602,0.07350695,8.34465e-07,0.076076925,0,0
0.9803523,0.98428154,0.0009821653,0.012524486,0,0
0.00010585785,0.20788866,4.7683716e-07,0.20680958,0,0
0.0036264062,0.0045458674,1.3113022e-06,0.00020426512,0,0
0.03212899,0.50682396,0.029112041,0.49947658,0,0
0.98509896,0.91082346,8.34465e-07,0.07430214,0,0
0.00014519691,0.00043451786,1.0728836e-06,0.00074744225,0,0
0.00010359287,0.80451506,0.33895594,0.09969354,0,0
4.9471855e-05,0.26147872,0.049876094,0.6469588,0,0
0.03622067,0.4676079,0.0029982328,0.43136004,0,0
3.194809e-05,0.00011873245,0.0,1.4305115e-06,0,0
0.99015796,0.9761174,0.010286331,0.0104599,0,0
0.00022739172,0.09404403,0.46983624,0.82830393,0,0
0.006757498,0.009717286,1.9192696e-05,0.000114262104,0,0
2.4676323e-05,0.0030285716,2.193451e-05,0.0027416348,0,0
1.8119812e-05,0.23486608,0.040854275,0.5919591,0,0
0.9980135,0.88713443,0.25975174,0.88847476,0,0
0.019267976,0.02229315,1.0371208e-05,5.9604645e-07,0,0
1.0251999e-05,7.1525574e-06,0.0,0.0,0,0
0.0011705756,0.0346995,0.15099674,0.9773288,0,0
5.4836273e-06,0.00053083897,0.0,0.00058853626,0,0
0.0010793209,0.36386818,0.0045175552,0.6341208,0,0
0.0,0.0,0.0,0.0,0,0
0.72612804,0.7353844,8.583069e-06,4.9471855e-05,0,0
1.1920929e-07,0.00010287762,2.3841858e-07,7.43866e-05,0,0
0.0,0.0,0.0,2.3841858e-07,0,0
0.027286887,0.6492848,0.0037041903,0.6488503,0,0
4.7683716e-06,2.503395e-06,0.0,0.00011384487,0,0
0.005078912,0.6951529,0.20628631,0.699916,0,0
5.9604645e-07,1.6212463e-05,0.00029283762,0.17509222,0,0
0.06732589,0.062063694,0.0007994771,0.0021517277,0,0
0.0049902797,0.15015697,4.7445297e-05,0.03173411,0,0
0.0004492402,0.6032765,0.00088971853,0.6032811,0,0
1.1920929e-07,0.01750654,5.4836273e-06,0.01214695,0,0
0.9993603,0.49803358,7.545948e-05,0.49976298,0,0
4.1007996e-05,5.2809715e-05,1.2636185e-05,0.12863582,0,0
0.0005172491,0.9895474,7.6174736e-05,0.91796565,0,0
0.9930828,0.8184036,0.0035845637,0.018539548,0,0
0.9999904,0.9994238,0.0005610585,0.037645876,0,0
0.9285266,0.7359135,0.3422131,0.1909957,0,0
0.9091853,0.9138951,0.0059435368,0.42779547,0,0
2.3841858e-07,9.298325e-06,8.34465e-07,1.6212463e-05,0,0
3.5762787e-07,0.022470474,2.3841858e-07,0.022453427,0,0
2.3841858e-07,6.556511e-06,0.0,6.67572e-06,0,0
0.0020705462,0.75289536,1.5616417e-05,0.72765565,0,0
0.0016267896,0.49989957,0.00081419945,0.50001824,0,0
0.0,3.159046e-05,0.22784287,0.2682119,0,0
0.00029033422,0.5325233,0.00020641088,0.5322013,0,0
0.038707078,0.7263429,2.1457672e-06,0.72625786,0,0
2.503395e-06,2.9802322e-06,7.1525574e-07,1.1920929e-07,0,0
0.0,0.0,0.0,0.0,0,0
0.9949762,0.979086,0.002021134,0.07471925,0,0
0.0011116862,0.5635237,0.00013303757,0.54612476,0,0
8.34465e-07,1.5497208e-06,1.9073486e-06,7.522106e-05,0,0
4.3272972e-05,3.1471252e-05,0.0,7.867813e-06,0,0
1.5497208e-06,0.024627447,0.0011395812,0.895321,0,0
0.92968214,0.09553218,0.00055736303,0.9737493,0,0
7.1525574e-07,0.0001488924,0.006381035,0.010988891,0,0
3.4570694e-06,4.184246e-05,0.0,5.567074e-05,0,0
0.99929506,0.9631114,5.51939e-05,0.025029361,0,0
4.4107437e-06,0.03341931,0.0014312863,0.31400478,0,0
0.20063424,0.13803393,0.94086325,0.59550595,0,0
5.00679e-06,3.4570694e-06,0.0,0.0,0,0
0.8040331,0.7318305,0.00013047457,0.076515496,0,0
0.0006622672,0.041119277,0.052895784,0.06352693,0,0
0.00745064,0.6474374,8.189678e-05,0.6480143,0,0
0.00010383129,0.9951154,0.0005110502,0.9928489,0,0
0.991311,0.2672544,0.0053940415,0.6733609,0,0
0.31166065,0.5195506,0.9802873,0.5189423,0,0
0.006860435,0.0037208796,1.1920929e-07,0.005041182,0,0
3.0994415e-06,0.0012783408,0.00018066168,0.37227756,0,0
0.004327178,0.0047011375,6.4373016e-06,0.017944038,0,0
0.5277116,0.15093464,7.081032e-05,0.34624106,0,0
0.010022163,0.7057484,1.5497208e-06,0.69746846,0,0
0.98846805,0.96035093,0.0,0.0,0,0
0.0005913973,0.0011357665,7.1525574e-07,0.0016777515,0,0
0.021826386,0.909904,0.383718,0.9089496,0,0
